r_1,r_2,r_3,r_4
10.363588110403397,3.1120600414078674,1.828966880869995,1.862068965517241
5.157466383581033,5.635351966873706,3.7238424781677373,2.0
5.3299716914366595,9.763198757763975,7.217004448838359,4.0
9.58067940552017,11.704192546583851,9.27665183720547,13.724137931034482
5.0866949752300075,4.192546583850932,4.712473224583951,6.551724137931035
6.179228591648974,5.2148033126294,3.2624814631735046,2.9655172413793105
5.931528662420382,3.1185300207039335,2.4715768660405337,3.1724137931034484
6.028839348903043,3.163819875776398,3.1471412094249467,4.689655172413794
5.334394904458599,5.667701863354037,9.293129016312406,9.034482758620689
6.617126680820948,7.104037267080746,11.599934091283572,11.931034482758621
8.240445859872612,13.696946169772255,19.245345196902292,18.13793103448276
6.811748053786271,8.378623188405797,7.151095732410612,10.0
6.674628450106157,8.035714285714286,6.6567803592025045,4.137931034482759
5.701521585279547,4.567805383022774,3.87213709013017,3.103448275862069
4.294939844302902,4.186076604554866,3.9050914483440433,1.5862068965517242
2.6671974522292996,2.458592132505176,2.636348657109903,3.103448275862069
